"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","100n","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~","",""
"C2","100n","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~","",""
"C3","100n","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~","",""
"C4","100n","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~","",""
"C5","100n","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~","",""
"C6","1u","Capacitors_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","~","",""
"C7","100u","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm","~","",""
"C8","10u","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm","~","",""
"C9","4u7","Capacitors_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","~","",""
"D1","LED","LEDs:LED_D5.0mm","http://www.farnell.com/datasheets/1811043.pdf",""," uk.farnellcom 3218450"
"J1","Conn_02x32_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x32_P2.54mm_Vertical","https://www.we-online.de/katalog/datasheet/613064243121.pdf","","uk.farnell.com 2984322"
"J2","Conn_02x20_Odd_Even","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm","http://www.farnell.com/datasheets/2012759.pdf","","uk.farnell.com 1106737"
"J3","Conn_02x22_Odd_Even","Pin_Headers:Pin_Header_Straight_2x22_Pitch2.00mm","https://www.farnell.com/cad/1912396.pdf","",""
"JP1","Pin 20 5V Supply","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~","",""
"JP2","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~","",""
"JP3","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","",""
"JP4","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","",""
"JP5","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","",""
"Q1","2N2907","Package_TO_SOT_THT:TO-18-3","http://www.farnell.com/datasheets/2869790.pdf","","uk.farnell.com 9206892"
"R1","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R2","4k7","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R3","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R4","330","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"U1","16V8","Housings_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.farnell.com/datasheets/30132.pdf","","uk.farnell.com 1551768"
"U2","ATF750","Housings_DIP:DIP-24_W7.62mm_Socket_LongPads","http://www.farnell.com/datasheets/1627044.pdf","","uk.farnell.com 3580674"
"U3","74HCT241","Housings_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74ls241.pdf","","uk.farnell.com 3006090"
"U4","74HCT245","Housings_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74HC245","","uk.farnell.com 3119519"
"U5","74HCT245","Housings_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74HC245","","uk.farnell.com 3119519"
